MENU_HOME,Home
MENU_PREDEFINED,Predefined
MENU_ON_SALE,On Sale
MENU_CUSTOM,Custom
MENU_SATELLITES,Satellites
MENU_ACCESSORIES,Accessories
MENU_SHOPPINGCART,Shopping Cart
MENU_LOGIN,Login
MENU_LOGOUT,Logout
MARKETING_CLAIM_BIG,Planets on sale!
MARKETING_CLAIM_SUBTEXT,... because noone else wanted them.
MARKETING_FIND_OUT_MORE,Find out more
ALL_PRODUCTS,All products
LOGIN_FAILED,Login failed
LOGIN_SUCCESSFUL,Login successful
LOGIN_SUCCESSFUL,Login successful, welcome back %s!
SHOPPINGCART_NAME,Product name
SHOPPINGCART_DESCRIPTION,Description
SHOPPINGCART_PRICE,Price
SHOPPINGCART_QUANTITY,Quantity
SHOPPINGCART_TOTAL,Total
SHOPPINGCART_CLEAR_CART,Clear cart
SHOPPINGCART_EMPTY,Cart is empty
SHOPPINGCART_CHECKOUT,Checkout
FORM_FIRSTNAME,Firstname
FORM_LASTNAME,Lastname
FORM_STREET,Street
FORM_NR,Number
FORM_AREACODE,Area Code
FORM_CITY,City
FORM_COUNTRY,Country
FORM_PLANET,Planet
FORM_GALAXY,Galaxie
FORM_EMAIL,Email
FORM_PHONE,Telephone
FORM_BIRTHDATE,Birthdate
FORM_USER,Username
FORM_PASS,Password
FORM_REG,Register
