MENU_HOME,Dahei
MENU_PREDEFINED,Vordefiniert
MENU_ON_SALE,Aktione
MENU_CUSTOM,Maasgschniideret
MENU_SATELLITES,Satelite
MENU_ACCESSORIES,Zuebehör
MENU_SHOPPINGCART,Chörbli
MENU_LOGIN,Iilogge
MENU_LOGOUT,Uslogge
MARKETING_CLAIM_BIG,Planetä im Usverchouf!
MARKETING_CLAIM_SUBTEXT,... wüu se niemer het wöue.
MARKETING_FIND_OUT_MORE,Hie klickä
ALL_PRODUCTS,Aui Produkt
LOGIN_FAILED,Iilogge isch nid gange!
LOGIN_SUCCESSFUL,Iilogge isch guet gange, willkomme zrügg!
LOGIN_SUCCESSFUL,Iilogge isch guet gange, willkomme zrügg %s!
SHOPPINGCART_NAME,Produktnamä
SHOPPINGCART_DESCRIPTION,Beschribig
SHOPPINGCART_PRICE,Priis
SHOPPINGCART_QUANTITY,Ahzau
SHOPPINGCART_TOTAL,Totau
SHOPPINGCART_CLEAR_CART,Chörbli lääre
SHOPPINGCART_EMPTY,Ds Chörbli isch läär
SHOPPINGCART_CHECKOUT,Tscheggout
FORM_FIRSTNAME,Vorname
FORM_LASTNAME,Nachname
FORM_STREET,Strasse/Nr.
FORM_AREACODE,PLZ
FORM_CITY,Ort
FORM_STATE,Kanton/Bezirk
FORM_COUNTRY,Land
FORM_PLANET,Planet
FORM_GALAXY,Galaxie
FORM_EMAIL,E-Mail
FORM_PHONE,Telephon
FORM_BIRTHDATE,Geburtsdatum
FORM_USER,Benutzername
FORM_PASS,Passwort
FORM_REG,Registrieren
FOOT_DS, Lieferservice
FOOT_CONT, Kontakt
FOOT_TC, AGB
