MENU_HOME,Dahei
MENU_PREDEFINED,Vordefiniert
MENU_ON_SALE,Aktione
MENU_CUSTOM,Maasgschniideret
MENU_SATELLITES,Satelite
MENU_ACCESSORIES,Zuebehör
MENU_SHOPPINGCART,Chörbli
MENU_LOGIN,Iilogge
MENU_LOGOUT,Uslogge
MARKETING_CLAIM_BIG,Planetä im Usverchouf!
MARKETING_CLAIM_SUBTEXT,... wüu se niemer het wöue.
MARKETING_FIND_OUT_MORE,Hie klickä
ALL_PRODUCTS,Aui Produkt
LOGIN_FAILED,Iilogge isch nid gange!
LOGIN_SUCCESSFUL,Iilogge isch guet gange, willkomme zrügg!
FORM_REG_FIRSTNAME, Vorname
FORM_REG_LASTNAME, Nachname
FORM_REG_STREET, Strasse
FORM_REG_NR, Nummer
FORM_REG_AREACODE, PLZ
FORM_REG_CITY, Ort
FORM_REG_COUNTRY, Land
FORM_REG_PLANET, Planet
FORM_REG_GALAXY, Galaxie
FORM_REG_EMAIL, E-Mail
FORM_REG_PHONE, Telephon
FORM_REG_BIRTHDATE, Geburtsdatum
FORM_REG_USER, Benutzername
FORM_REG_PASS, Passwort
FORM_REG_REG, Registrieren
LOGIN_SUCCESSFUL,Iilogge isch guet gange, willkomme zrügg %s!
SHOPPINGCART_NAME,Produktnamä
SHOPPINGCART_DESCRIPTION,Beschribig
SHOPPINGCART_PRICE,Priis
SHOPPINGCART_QUANTITY,Ahzau
SHOPPINGCART_TOTAL,Totau
SHOPPINGCART_CLEAR_CART,Chörbli lääre
SHOPPINGCART_EMPTY,Ds Chörbli isch läär
SHOPPINGCART_CHECKOUT,Tscheggout
